id,data_anuncio,bairro,tipo_imovel,area_m2,quartos,banheiros,vagas_garagem,idade_imovel,preco_anunciado,status_conservacao
1,2023-01-05,Jardins,Apartamento,120,3,2,2,5,1500000,Novo
2,2023-01-07,Centro,Apartamento,45,1,1,0,40,320000,Reformado
3,2023-01-10,Vila Olimpia,Apartamento,85,2,2,1,12,980000,Usado
4,2023-01-15,Jardins,Casa,350,4,5,4,20,4500000,Usado
5,2023-01-20,Centro,Studio,28,1,1,,2,410000,Novo
6,2023-01-22,Moema,Apartamento,110,3,3,2,8,1250000,Novo
7,2023-01-25,Vila Olimpia,Apartamento,,2,2,1,15,950000,Usado
8,2023-02-01,Grajaú,Casa,150,3,2,1,30,450000,Usado
9,2023-02-03,Jardins,Apartamento,220,3,4,3,25,3200000,Usado
10,2023-02-05,Centro,Apartamento,60,2,1,0,50,380000,Precisa Reformar
11,2023-02-10,Moema,Apartamento,95,2,2,2,10,,Novo
12,2023-02-12,Grajaú,Casa,100,2,1,1,45,300000,Usado
13,2023-02-15,Vila Olimpia,Studio,35,1,1,1,5,600000,Novo
14,2023-02-18,Jardins,Casa,800,6,8,10,15,12000000,Novo
15,2023-02-20,Centro,Apartamento,50,1,1,0,35,340000,Usado
16,2023-02-22,Moema,Apartamento,130,3,3,2,12,1400000,Usado
17,2023-02-25,Grajaú,Casa,120,3,2,2,20,400000,Usado
18,2023-03-01,Vila Olimpia,Apartamento,70,2,2,1,,780000,Usado
19,2023-03-05,Centro,Studio,30,1,1,0,1,450000,Novo
20,2023-03-10,Jardins,Apartamento,180,3,3,2,30,2100000,Reformado
21,2023-03-12,Moema,Casa,250,4,4,3,18,2800000,Usado
22,2023-03-15,Grajaú,Casa,80,2,1,1,40,280000,Precisa Reformar
23,2023-03-20,Jardins,Cobertura,450,5,6,5,10,8500000,Novo
24,2023-03-22,Vila Olimpia,Apartamento,90,2,2,2,7,1100000,Novo
25,2023-03-25,Centro,Apartamento,55,1,1,0,45,310000,Usado
26,2023-04-01,Moema,Apartamento,105,3,2,2,15,1150000,Usado
27,2023-04-05,Grajaú,Casa,200,4,3,2,25,550000,Usado
28,2023-04-10,Jardins,Apartamento,140,3,2,2,40,1800000,Reformado
29,2023-04-15,Vila Olimpia,Studio,32,1,1,0,3,580000,Novo
30,2023-04-20,Centro,Apartamento,48,1,1,0,38,330000,Usado
31,2023-05-01,Jardins,Apartamento,130,3,2,2,8,1600000,Novo
32,2023-05-03,Centro,Studio,25,1,1,0,1,400000,Novo
33,2023-05-05,Vila Olimpia,Apartamento,88,2,2,2,10,1050000,Novo
34,2023-05-07,Moema,Apartamento,125,3,3,2,5,1350000,Novo
35,2023-05-10,Grajaú,Casa,180,3,2,2,28,520000,Usado
36,2023-05-12,Jardins,Apartamento,210,3,3,3,20,3000000,Reformado
37,2023-05-15,Centro,Apartamento,,1,1,0,42,315000,Usado
38,2023-05-18,Vila Olimpia,Studio,38,1,1,1,2,650000,Novo
39,2023-05-20,Moema,Apartamento,115,3,2,2,14,1280000,Usado
40,2023-05-22,Grajaú,Casa,95,2,1,1,35,320000,Usado
41,2023-06-01,Jardins,Casa,400,4,5,5,18,5200000,Usado
42,2023-06-03,Centro,Apartamento,62,2,1,0,48,390000,Usado
43,2023-06-05,Vila Olimpia,Apartamento,75,2,2,1,8,820000,Usado
44,2023-06-07,Moema,Casa,300,4,4,4,15,3500000,Reformado
45,2023-06-10,Grajaú,Casa,160,3,2,2,22,480000,Novo
46,2023-06-12,Jardins,Cobertura,500,5,7,6,12,9500000,Novo
47,2023-06-15,Centro,Studio,29,1,1,0,3,,Novo
48,2023-06-18,Vila Olimpia,Apartamento,95,3,2,2,12,1150000,Usado
49,2023-06-20,Moema,Apartamento,140,3,3,3,10,1600000,Novo
50,2023-06-22,Grajaú,Casa,110,2,2,2,15,380000,Novo
51,2023-07-01,Jardins,Apartamento,150,3,3,2,25,1900000,Reformado
52,2023-07-03,Centro,Apartamento,45,1,1,0,55,290000,Precisa Reformar
53,2023-07-05,Vila Olimpia,Studio,34,1,1,0,4,590000,Novo
54,2023-07-07,Moema,Apartamento,100,3,2,2,18,1100000,Usado
55,2023-07-10,Grajaú,Casa,220,4,3,3,30,600000,Usado
56,2023-07-12,Jardins,Casa,280,3,3,3,45,3800000,Usado
57,2023-07-15,Centro,Apartamento,52,2,1,0,40,350000,Usado
58,2023-07-18,Vila Olimpia,Apartamento,110,3,3,2,6,1400000,Novo
59,2023-07-20,Moema,Studio,40,1,1,1,1,720000,Novo
60,2023-07-22,Grajaú,Casa,130,3,2,1,25,410000,Usado
61,2023-08-01,Jardins,Apartamento,145,3,3,2,12,1850000,Reformado
62,2023-08-03,Centro,Studio,32,1,1,0,5,380000,Usado
63,2023-08-05,Vila Olimpia,Apartamento,92,2,2,2,8,1100000,Novo
64,2023-08-07,Moema,Apartamento,105,3,2,2,15,1180000,Usado
65,2023-08-10,Grajaú,Casa,140,3,2,1,20,430000,Novo
66,2023-08-12,Jardins,Apartamento,190,3,3,2,25,2400000,Usado
67,2023-08-15,Centro,Apartamento,58,2,1,0,38,360000,Usado
68,2023-08-18,Vila Olimpia,Studio,30,1,1,0,2,550000,Novo
69,2023-08-20,Moema,Apartamento,150,3,3,3,10,1850000,Novo
70,2023-08-22,Grajaú,Casa,115,2,2,2,10,395000,Novo
71,2023-09-01,Jardins,Casa,500,4,5,6,15,7500000,Novo
72,2023-09-03,Centro,Apartamento,45,1,1,0,50,280000,Precisa Reformar
73,2023-09-05,Vila Olimpia,Apartamento,82,2,2,1,14,890000,Usado
74,2023-09-07,Moema,Casa,280,4,4,3,20,3100000,Usado
75,2023-09-10,Grajaú,Casa,170,3,2,2,25,490000,Usado
76,2023-09-12,Jardins,Apartamento,110,2,2,2,10,1450000,Novo
77,2023-09-15,Centro,Studio,27,1,1,0,1,420000,Novo
78,2023-09-18,Vila Olimpia,Apartamento,100,3,2,2,10,1200000,Novo
79,2023-09-20,Moema,Apartamento,120,3,2,2,12,1380000,Reformado
80,2023-09-22,Grajaú,Casa,105,2,1,1,40,310000,Usado
81,2023-10-01,Jardins,Apartamento,165,3,3,2,18,2200000,Usado
82,2023-10-03,Centro,Apartamento,65,2,1,0,45,395000,Reformado
83,2023-10-05,Vila Olimpia,Studio,35,1,1,1,5,610000,Novo
84,2023-10-07,Moema,Apartamento,135,3,3,2,8,1550000,Novo
85,2023-10-10,Grajaú,Casa,190,3,3,2,15,,Novo
86,2023-10-12,Jardins,Cobertura,420,4,6,5,10,8900000,Novo
87,2023-10-15,Centro,Apartamento,50,1,1,0,35,335000,Usado
88,2023-10-18,Vila Olimpia,Apartamento,85,2,2,1,12,985000,Usado
89,2023-10-20,Moema,Casa,320,4,5,4,22,3800000,Usado
90,2023-10-22,Grajaú,Casa,125,3,2,2,20,425000,Usado
91,2023-11-01,Jardins,Apartamento,140,3,2,2,30,1750000,Reformado
92,2023-11-03,Centro,Studio,28,1,1,,3,390000,Novo
93,2023-11-05,Vila Olimpia,Apartamento,78,2,2,1,15,850000,Usado
94,2023-11-07,Moema,Apartamento,112,3,2,2,12,1280000,Usado
95,2023-11-10,Grajaú,Casa,155,3,2,2,18,485000,Novo
96,2023-11-12,Jardins,Apartamento,250,4,4,3,20,3800000,Usado
97,2023-11-15,Centro,Apartamento,48,1,1,0,50,295000,Precisa Reformar
98,2023-11-18,Vila Olimpia,Studio,33,1,1,0,2,585000,Novo
99,2023-11-20,Moema,Apartamento,98,2,2,2,15,1080000,Usado
100,2023-11-22,Grajaú,Casa,100,2,1,1,40,315000,Usado
101,2023-12-01,Jardins,Apartamento,155,3,3,2,10,2100000,Novo
102,2023-12-03,Centro,Apartamento,55,2,1,0,42,345000,Usado
103,2023-12-05,Vila Olimpia,Apartamento,88,2,2,2,9,1020000,Novo
104,2023-12-07,Moema,Apartamento,128,3,3,2,6,1480000,Novo
